
====================================================================================================
PROFILE SUMMARY
====================================================================================================
Fri Feb 27 19:10:04 2026    /home/ryan/Documents/2026-Rebuild/src/teleop.prof

         159180 function calls (159115 primitive calls) in 6.931 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.001    0.000    0.018    0.001 /home/lvuser/py/components/intake.py:75(get_right_angle)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/components/shooter_controller.py:107(is_at_speed)
       23    0.001    0.000    0.006    0.000 /home/lvuser/py/lemonlib/util/alert.py:147(<lambda>)
       23    0.001    0.000    0.005    0.000 /home/lvuser/py/lemonlib/util/alert.py:151(<lambda>)
       23    0.001    0.000    0.002    0.000 /home/lvuser/py/lemonlib/control.py:221(getRightTriggerAxis)
       23    0.000    0.000    0.002    0.000 /home/lvuser/py/lemonlib/control.py:265(getSquareButton)
       23    0.001    0.000    0.005    0.000 /home/lvuser/py/lemonlib/control.py:281(getR2Axis)
       23    0.001    0.000    0.007    0.000 /home/lvuser/py/lemonlib/control.py:285(getL2Axis)
       23    0.001    0.000    0.018    0.001 /home/lvuser/py/lemonlib/control.py:309(getLeftX)
       23    0.001    0.000    0.010    0.000 /home/lvuser/py/lemonlib/control.py:318(getLeftY)
       23    0.001    0.000    0.012    0.001 /home/lvuser/py/lemonlib/control.py:327(getRightX)
       23    0.001    0.000    0.001    0.000 /home/lvuser/py/lemonlib/smart/controller.py:48(<lambda>)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/smart/controller.py:50(<lambda>)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/smart/controller.py:52(<lambda>)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/smart/controller.py:53(<lambda>)
       23    0.002    0.000    0.495    0.022 /home/lvuser/py/components/odometry.py:39(execute)
       23    0.000    0.000    0.004    0.000 /home/lvuser/py/lemonlib/control.py:336(getRightY)
       23    0.001    0.000    0.005    0.000 /home/lvuser/py/lemonlib/util/alert.py:143(<lambda>)
       23    0.007    0.000    0.031    0.001 /home/lvuser/py/lemonlib/smart/profile.py:358(calculate)
       23    0.003    0.000    0.014    0.001 /home/lvuser/py/components/swerve_drive.py:220(get_distance_from_desired_pose)
       23    0.002    0.000    0.035    0.002 /home/lvuser/py/lemonlib/smart/controller.py:55(calculate)
       23    0.010    0.000    6.767    0.294 /home/lvuser/py/lemonlib/lemonbot/lemon_robot.py:73(_enabled_periodic)
       23    0.002    0.000    0.210    0.009 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:251(robotPeriodic)
       23    0.001    0.000    0.006    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magic_tunable.py:153(__get__)
       23    0.001    0.000    0.051    0.002 /home/lvuser/py/components/intake.py:81(_compute_angle)
       23    0.001    0.000    0.001    0.000 /home/lvuser/py/components/drive_control.py:94(drive_point_joy)
       23    0.003    0.000    0.011    0.000 /home/lvuser/py/components/swerve_drive.py:186(<lambda>)
       23    0.011    0.000    0.594    0.026 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:720(_do_periodics)
       23    0.001    0.000    0.046    0.002 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:54(wait)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/controls/velocity_voltage.py:254(with_velocity)
       23    0.009    0.000    0.066    0.003 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fx.py:679(get_velocity)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/status_signal.py:94(value)
       23    0.006    0.000    0.013    0.001 /home/lvuser/py/robot.py:364(display_auto_state)
       23    0.001    0.000    0.014    0.001 /home/lvuser/py/robot.py:355(get_voltage)
       23    0.001    0.000    0.002    0.000 /home/lvuser/py/robot.py:240(enabledperiodic)
       22    0.002    0.000    0.007    0.000 {built-in method wpilib._wpilib.getAlliance}
       22    0.008    0.000    0.014    0.001 {built-in method wpilib._wpilib.getBoolean}
       22    0.018    0.001    0.032    0.001 /home/lvuser/py/components/shooter_controller.py:44(_update_target)
       22    0.001    0.000    0.001    0.000 /home/lvuser/py/components/shooter.py:94(set_velocity)
       22    0.000    0.000    0.000    0.000 /home/lvuser/py/game.py:86(get_hub_pos)
       22    0.002    0.000    0.037    0.002 /home/lvuser/py/components/shooter_controller.py:111(idle)
       22    0.000    0.000    0.000    0.000 /home/lvuser/py/components/swerve_drive.py:210(get_velocity)
       21    0.008    0.000    0.147    0.007 /home/lvuser/py/components/swerve_drive.py:430(sendAdvantageScopeData)
       21    0.004    0.000    0.039    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:669(get_state)
       20    0.002    0.000    0.011    0.001 /usr/local/lib/python3.14/inspect.py:1724(getattr_static)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1354(with_velocity_x)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1370(with_velocity_y)
       20    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1386(with_target_direction)
       20    0.005    0.000    0.017    0.001 /home/lvuser/py/components/swerve_drive.py:311(drive_point_joy)
       20    0.001    0.000    0.020    0.001 /home/lvuser/py/components/drive_control.py:185(point_towards_joy)
       20    0.002    0.000    0.007    0.000 /usr/local/lib/python3.14/inspect.py:1685(_check_class)
       20    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/inspect.py:1676(_check_instance)
       19    0.001    0.000    0.001    0.000 /home/lvuser/py/lemonlib/util/__init__.py:44(clamp)
       19    0.001    0.000    0.001    0.000 /home/lvuser/py/robot.py:223(<lambda>)
       15    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       13    0.006    0.000    0.006    0.000 {method 'copy' of 'dict' objects}
       12    0.001    0.000    0.001    0.000 <frozen posixpath>:72(join)
       12    0.001    0.000    0.069    0.006 /usr/local/lib/python3.14/logging/__init__.py:1721(callHandlers)
       12    0.002    0.000    0.008    0.001 /usr/local/lib/python3.14/logging/__init__.py:298(__init__)
       12    0.002    0.000    0.005    0.000 /usr/local/lib/python3.14/logging/__init__.py:699(format)
       12    0.001    0.000    0.002    0.000 /usr/local/lib/python3.14/logging/__init__.py:1592(findCaller)
       12    0.001    0.000    0.091    0.008 /usr/local/lib/python3.14/logging/__init__.py:1641(_log)
       12    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.putBoolean}
       12    0.001    0.000    0.001    0.000 {built-in method wpilib._wpilib.putString}
       12    0.001    0.000    0.073    0.006 /usr/local/lib/python3.14/logging/__init__.py:1667(handle)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:677(usesTime)
       12    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/logging/__init__.py:683(formatMessage)
       12    0.001    0.000    0.008    0.001 /usr/local/lib/python3.14/logging/__init__.py:1626(makeRecord)
       12    0.001    0.000    0.002    0.000 /usr/local/lib/python3.14/logging/__init__.py:1131(flush)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:129(getLevelName)
       12    0.000    0.000    0.005    0.000 /usr/local/lib/python3.14/logging/__init__.py:988(format)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/threading.py:1135(name)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:455(usesTime)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/threading.py:1470(current_thread)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:391(getMessage)
       12    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/logging/__init__.py:463(_format)
       12    0.000    0.000    0.002    0.000 /usr/local/lib/python3.14/logging/__init__.py:631(formatTime)
       12    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/logging/__init__.py:470(format)
       12    0.007    0.001    0.066    0.005 /usr/local/lib/python3.14/logging/__init__.py:1011(handle)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:167(<lambda>)
       12    0.001    0.000    0.052    0.004 /usr/local/lib/python3.14/logging/__init__.py:1139(emit)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:1765(isEnabledFor)
       12    0.000    0.000    0.001    0.000 <frozen posixpath>:166(basename)
       12    0.002    0.000    0.002    0.000 <frozen genericpath>:157(_splitext)
       12    0.000    0.000    0.002    0.000 <frozen posixpath>:117(splitext)
       12    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
       12    0.006    0.001    0.018    0.001 {built-in method posix.getcwd}
       12    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       12    0.019    0.002    0.046    0.004 {method 'write' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
       12    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       12    0.001    0.000    0.001    0.000 {built-in method time.strftime}
     10/3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.14/typing.py:2001(__subclasscheck__)
       10    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/typing.py:2061(_proto_hook)
       10    0.001    0.000    0.001    0.000 {built-in method ntcore._ntcore.getEntry}
       10    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getSubTable}
       10    0.001    0.000    0.002    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/photonCamera.py:308(<lambda>)
     10/3    0.000    0.000    0.002    0.001 <frozen abc>:121(__subclasscheck__)
       10    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     10/3    0.000    0.000    0.002    0.001 {built-in method _abc._abc_subclasscheck}
        8    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/tokenize.py:400(find_cookie)
        8    0.000    0.000    0.004    0.000 /usr/local/lib/python3.14/tokenize.py:382(read_or_stop)
        8    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        8    0.004    0.001    0.006    0.001 {built-in method _io.open}
        8    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        8    0.002    0.000    0.002    0.000 {method 'readline' of '_io.BufferedReader' objects}
        7    0.005    0.001    0.010    0.001 /usr/local/lib/python3.14/tokenize.py:358(detect_encoding)
        7    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:16(unpack)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:34(pack)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:11(__init__)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:28(__init__)
        7    0.002    0.000    0.017    0.002 {method 'sendto' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        7    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        7    0.002    0.000    0.017    0.002 /usr/local/lib/python3.14/tokenize.py:457(open)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/tokenize.py:388(check)
        7    0.000    0.000    0.000    0.000 <frozen codecs>:312(__init__)
        7    0.000    0.000    0.000    0.000 <frozen codecs>:263(__init__)
        7    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        7    0.003    0.000    0.005    0.001 {method '__exit__' of '_io._IOBase' objects}
        7    0.045    0.006    0.074    0.011 {method 'readlines' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.set}
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magic_tunable.py:158(__set__)
        6    0.009    0.001    0.017    0.003 {method 'recvfrom' of '_socket.socket' objects}
        6    0.003    0.001    0.034    0.006 /usr/local/lib/python3.14/logging/__init__.py:1522(warning)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/traceback.py:331(__getitem__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.013    0.003    2.867    0.717 {built-in method hal._wpiHal.sendError}
        4    0.001    0.000    3.281    0.820 /usr/local/lib/python3.14/site-packages/wpilib/_impl/report_error.py:11(reportErrorInternal)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:521(next_state)
        4    0.001    0.000    0.029    0.007 /usr/local/lib/python3.14/logging/__init__.py:1510(info)
        3    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/util/slew.py:9(__init__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/typing.py:1905(_allow_reckless_class_checks)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/typing.py:1894(_caller)
        3    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getInstance}
        2    0.001    0.000    0.001    0.000 {built-in method ntcore._ntcore.getSubTables}
        2    0.002    0.001    0.006    0.003 {built-in method ntcore._ntcore.exists}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getTable}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getProperty}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getTopic}
        2    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.getJoystickIsXbox}
        2    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.isAutonomousEnabled}
        2    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.isSimulation}
        2    0.002    0.001    0.004    0.002 /home/lvuser/py/lemonlib/control.py:72(__init__)
        2    0.001    0.000    0.004    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:176(_apply_native)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:42(free)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:549(done)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:492(on_disable)
        2    0.002    0.001    0.095    0.048 /usr/local/lib/python3.14/site-packages/wpilib/_impl/report_error.py:83(reportWarning)
        2    0.000    0.000    3.196    1.598 /usr/local/lib/python3.14/site-packages/wpilib/_impl/report_error.py:72(reportError)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:1751(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/logging/__init__.py:1354(disable)
        2    0.001    0.000    0.035    0.017 /usr/local/lib/python3.14/logging/__init__.py:1539(error)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/inspect.py:1692(_shadowed_dict_from_weakref_mro_tuple)
        2    0.000    0.000    0.557    0.278 /usr/local/lib/python3.14/inspect.py:1658(stack)
        2    0.001    0.001    0.399    0.200 /usr/local/lib/python3.14/inspect.py:1628(getouterframes)
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 {built-in method hal._wpiHal.initializeNotifier}
        1    0.000    0.000    0.000    0.000 {built-in method hal._wpiHal.stopNotifier}
        1    0.000    0.000    0.000    0.000 {built-in method hal._wpiHal.cleanNotifier}
        1    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.setString}
        1    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.getControlState}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/base_status_signal.py:35(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:416(_disabled)
        1    0.000    0.000    0.000    0.000 /home/lvuser/py/components/drive_control.py:146(free)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:488(with_velocity_x)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:504(with_velocity_y)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:520(with_rotational_rate)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:36(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:33(__del__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:39(__exit__)
        1    0.000    0.000    0.000    0.000 /home/lvuser/py/components/swerve_drive.py:275(drive)
        1    0.000    0.000    0.001    0.001 /home/lvuser/py/components/drive_control.py:129(initialise)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:571(_on_mode_disable_components)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:641(_apply_native)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:20(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.14/site-packages/phoenix6/status_signal.py:48(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/cProfile.py:53(create_stats)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.14/cProfile.py:47(dump_stats)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/all_timestamps.py:22(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/ctypes/__init__.py:271(POINTER)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/ctypes/__init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.001    0.001 /home/lvuser/py/robot.py:343(disabledInit)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/typing.py:1926(_lazy_load_getattr_static)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}



====================================================================================================
CALLERS (WHO CALLED EACH FUNCTION)
====================================================================================================
   Ordered by: cumulative time

Function                                                                                                     was called by...
                                                                                                                 ncalls  tottime  cumtime
/home/lvuser/py/lemonlib/lemonbot/lemon_robot.py:73(_enabled_periodic)                                       <-       0    0.000    0.000  /home/lvuser/py/lemonlib/control.py:136(getLeftBumper)
                                                                                                                      0    0.000    0.000  /home/lvuser/py/lemonlib/control.py:265(getSquareButton)
                                                                                                                      0    0.000    0.000  /home/lvuser/py/lemonlib/smart/preference.py:61(__get__)
                                                                                                                  22/11    0.009    1.482  /home/lvuser/py/robot.py:267(teleopPeriodic)
                                                                                                                      0    0.000    0.000  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:653(control_callback)
                                                                                                                      0    0.000    0.000  {built-in method builtins.next}
                                                                                                                      0    0.000    0.000  {built-in method wpilib._wpilib.getFPGATime}
                                                                                                                      0    0.000    0.000  {built-in method wpilib.interfaces._interfaces.getRawButton}
/usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:741(telem_callback)             <-       2    0.000    0.003  /home/lvuser/py/components/intake.py:81(_compute_angle)
                                                                                                                      1    0.000    0.002  /home/lvuser/py/components/intake.py:105(execute)
                                                                                                                      2    0.000    0.003  /home/lvuser/py/components/odometry.py:54(_process_latest_result)
                                                                                                                      1    0.000    0.002  /home/lvuser/py/components/swerve_drive.py:311(drive_point_joy)
                                                                                                                      1    0.000    0.002  /home/lvuser/py/lemonlib/control.py:72(__init__)
                                                                                                                      1    0.000    0.002  /home/lvuser/py/lemonlib/control.py:318(getLeftY)
                                                                                                                      1    0.000    0.002  /home/lvuser/py/lemonlib/lemonbot/lemon_robot.py:91(_do_periodics)
                                                                                                                      5    0.001    0.010  /home/lvuser/py/lemonlib/lemonbot/tunable.py:14(wrapper)
                                                                                                                      1    0.000    0.003  /home/lvuser/py/lemonlib/smart/preference.py:61(__get__)
                                                                                                                      4    0.000    0.008  /usr/local/lib/python3.14/enum.py:186(__get__)
                                                                                                                      5    0.000    0.008  /usr/local/lib/python3.14/inspect.py:180(ismodule)
                                                                                                                   35/1    0.004    0.002  /usr/local/lib/python3.14/inspect.py:857(getsourcefile)
                                                                                                                   10/2    0.001    0.009  /usr/local/lib/python3.14/inspect.py:897(getmodule)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/inspect.py:949(findsource)
                                                                                                                      5    0.000    0.010  /usr/local/lib/python3.14/inspect.py:1567(getframeinfo)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/linecache.py:32(getlines)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/linecache.py:48(_getline_from_code)
                                                                                                                      2    0.000    0.005  /usr/local/lib/python3.14/linecache.py:76(checkcache)
                                                                                                                      2    0.000    0.004  /usr/local/lib/python3.14/logging/__init__.py:1011(handle)
                                                                                                                      0    0.000    0.000  /usr/local/lib/python3.14/logging/__init__.py:1539(error)
                                                                                                                    2/1    0.000    0.001  /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:251(robotPeriodic)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:566(execute)
                                                                                                                    7/5    0.001    0.010  /usr/local/lib/python3.14/site-packages/phoenix6/base_status_signal.py:352(_refresh_value)
                                                                                                                   10/1    0.001    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/controls/follower.py:90(_send_request)
                                                                                                                      3    0.000    0.005  /usr/local/lib/python3.14/site-packages/phoenix6/controls/velocity_voltage.py:239(_send_request)
                                                                                                                    5/0    0.000    0.000  /usr/local/lib/python3.14/site-packages/phoenix6/controls/voltage_out.py:203(_send_request)
                                                                                                                   12/2    0.001    0.004  /usr/local/lib/python3.14/site-packages/phoenix6/error_reporting.py:13(report_status_code)
                                                                                                                    3/2    0.000    0.003  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fx.py:679(get_velocity)
                                                                                                                    4/1    0.000    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fx.py:7098(set_control)
                                                                                                                    3/2    0.000    0.004  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fxs.py:6542(set_control)
                                                                                                                    5/2    0.001    0.033  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:84(report_if_too_old)
                                                                                                                      1    0.000    0.001  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:367(_set_control_private)
                                                                                                                   11/3    0.002    0.005  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/talon_fx.py:303(_set_control_private)
                                                                                                                    4/1    0.000    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/hardware/talon_fxs.py:303(_set_control_private)
                                                                                                                      2    0.000    0.003  /usr/local/lib/python3.14/site-packages/phoenix6/status_code.py:1221(description)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:176(_apply_native)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:400(apply)
                                                                                                                    5/3    0.000    0.006  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1298(apply)
                                                                                                                      2    0.000    0.004  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:78(_update_from_native)
                                                                                                                    3/1    0.000    0.000  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:174(_update_from_native)
                                                                                                                    7/4    0.001    0.008  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:653(control_callback)
                                                                                                                    5/1    0.003    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:669(get_state)
                                                                                                                    8/1    0.001    0.002  /usr/local/lib/python3.14/site-packages/phoenix6/utils.py:23(get_current_time_seconds)
                                                                                                                      1    0.000    0.001  /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:66(addEpoch)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:95(reset)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:102(enable)
                                                                                                                    6/3    0.001    0.006  /usr/local/lib/python3.14/textwrap.py:416(dedent)
                                                                                                                      0    0.000    0.000  /usr/local/lib/python3.14/textwrap.py:447(indent)
                                                                                                                    2/0    0.000    0.000  /usr/local/lib/python3.14/traceback.py:37(format_list)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/traceback.py:244(format_stack)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/traceback.py:295(__init__)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/traceback.py:344(_set_lines)
                                                                                                                      3    0.000    0.012  /usr/local/lib/python3.14/traceback.py:365(_dedented_lines)
                                                                                                                      2    0.000    0.003  /usr/local/lib/python3.14/traceback.py:373(line)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/traceback.py:437(extract)
                                                                                                                      0    0.000    0.000  /usr/local/lib/python3.14/traceback.py:459(_extract_from_extended_frame_gen)
                                                                                                                      1    0.000    0.002  /usr/local/lib/python3.14/traceback.py:509(from_list)
                                                                                                                    7/0    0.001    0.000  /usr/local/lib/python3.14/traceback.py:528(format_frame_summary)
                                                                                                                    4/2    0.000    0.003  /usr/local/lib/python3.14/traceback.py:745(format)
                                                                                                                      3    0.000    0.005  <frozen genericpath>:16(exists)
                                                                                                                    5/2    0.000    0.004  <string>:1(<lambda>)
                                                                                                                      0    0.000    0.000  {built-in method _io.open}
                                                                                                                      1    0.000    0.002  {built-in method hal._wpiHal.observeUserProgramTeleop}
                                                                                                                      4    0.000    0.008  {built-in method hal._wpiHal.sendError}
                                                                                                                      1    0.000    0.002  {built-in method hal._wpiHal.updateNotifierAlarm}
                                                                                                                      1    0.000    0.002  {built-in method hal._wpiHal.waitForNotifierAlarm}
                                                                                                                      1    0.000    0.002  {built-in method ntcore._ntcore.exists}
                                                                                                                    1/0    0.000    0.000  {built-in method ntcore._ntcore.get}
                                                                                                                      1    0.000    0.002  {built-in method ntcore._ntcore.readQueue}
                                                                                                                      3    0.000    0.006  {built-in method ntcore._ntcore.set}
                                                                                                                      2    0.000    0.004  {built-in method ntcore._ntcore.setValue}
                                                                                                                      2    0.000    0.003  {built-in method posix.getcwd}
                                                                                                                384/130    0.040    0.235  {built-in method posix.lstat}
                                                                                                                  156/8    0.012    0.013  {built-in method posix.stat}
                                                                                                                    2/0    0.000    0.000  {built-in method wpilib._wpilib.get}
                                                                                                                      1    0.000    0.002  {built-in method wpilib._wpilib.getBatteryVoltage}
                                                                                                                      0    0.000    0.000  {built-in method wpilib._wpilib.getBoolean}
                                                                                                                   11/1    0.001    0.002  {built-in method wpilib._wpilib.getFPGATime}
                                                                                                                      2    0.000    0.004  {built-in method wpilib._wpilib.putBoolean}
                                                                                                                     11    0.001    0.023  {built-in method wpilib._wpilib.putNumber}
